User ID,Question ID,Score
S1,Q1,1.0
S1,Q2,1.0
S1,Q3,0.0
S1,Q4,0.125
S1,Q5,0.3333333333333333
S1,Q6,0.0
S1,Q7,0.0
S1,Q8,1.0
S1,Q9,0.0
S1,Q10,0.0
S1,Q11,0.4
S1,Q12,0.8
S1,Q13,0.0
S2,Q1,0.0
S2,Q2,0.5
S2,Q3,1.0
S2,Q4,0.0833333333333333
S2,Q5,0.8333333333333334
S2,Q6,0.0
S2,Q7,0.0
S2,Q8,0.0
S2,Q9,1.0
S2,Q10,0.0
S2,Q11,0.8
S2,Q12,0.8
S2,Q13,1.0
S3,Q1,1.0
S3,Q2,0.9166666666666666
S3,Q3,0.75
S3,Q4,0.0833333333333333
S3,Q5,0.3333333333333333
S3,Q6,1.0
S3,Q7,0.0
S3,Q8,1.0
S3,Q9,1.0
S3,Q10,1.0
S3,Q11,0.6
S3,Q12,0.8
S3,Q13,1.0
S4,Q1,0.0
S4,Q2,0.9166666666666666
S4,Q3,0.5
S4,Q4,0.0416666666666666
S4,Q5,0.3333333333333333
S4,Q6,0.0
S4,Q7,0.0
S4,Q8,1.0
S4,Q9,1.0
S4,Q10,1.0
S4,Q11,0.8
S4,Q12,1.0
S4,Q13,0.0
S5,Q1,0.0
S5,Q2,0.4166666666666667
S5,Q3,0.0
S5,Q4,0.125
S5,Q5,0.3333333333333333
S5,Q6,0.0
S5,Q7,0.0
S5,Q8,0.0
S5,Q9,0.0
S5,Q10,0.0
S5,Q11,0.8
S5,Q12,0.6
S5,Q13,1.0
S6,Q1,1.0
S6,Q2,0.3333333333333333
S6,Q3,0.0
S6,Q4,0.0833333333333333
S6,Q5,0.1666666666666666
S6,Q6,0.0
S6,Q7,0.0
S6,Q8,0.5
S6,Q9,1.0
S6,Q10,0.0
S6,Q11,0.6
S6,Q12,0.8
S6,Q13,0.0
S7,Q1,0.0
S7,Q2,1.0
S7,Q3,0.75
S7,Q4,0.125
S7,Q5,0.1666666666666666
S7,Q6,1.0
S7,Q7,0.0
S7,Q8,1.0
S7,Q9,0.0
S7,Q10,0.0
S7,Q11,0.6
S7,Q12,1.0
S7,Q13,1.0
S8,Q1,1.0
S8,Q2,0.6666666666666666
S8,Q3,1.0
S8,Q4,0.125
S8,Q5,0.6666666666666666
S8,Q6,1.0
S8,Q7,0.0
S8,Q8,0.0
S8,Q9,1.0
S8,Q10,0.0
S8,Q11,0.8
S8,Q12,0.8
S8,Q13,1.0
S9,Q1,0.0
S9,Q2,0.5833333333333334
S9,Q3,0.75
S9,Q4,0.0833333333333333
S9,Q5,0.5
S9,Q6,1.0
S9,Q7,0.0
S9,Q8,0.0
S9,Q9,1.0
S9,Q10,0.0
S9,Q11,0.8
S9,Q12,0.8
S9,Q13,1.0
S10,Q1,1.0
S10,Q2,0.6666666666666666
S10,Q3,1.0
S10,Q4,0.625
S10,Q5,0.3333333333333333
S10,Q6,0.0
S10,Q7,1.0
S10,Q8,1.0
S10,Q9,1.0
S10,Q10,0.0
S10,Q11,0.6
S10,Q12,0.8
S10,Q13,1.0
S11,Q1,1.0
S11,Q2,1.0
S11,Q3,1.0
S11,Q4,0.25
S11,Q5,0.3333333333333333
S11,Q6,0.0
S11,Q7,1.0
S11,Q8,0.0
S11,Q9,1.0
S11,Q10,0.0
S11,Q11,0.6
S11,Q12,1.0
S11,Q13,1.0
S12,Q1,1.0
S12,Q2,1.0
S12,Q3,1.0
S12,Q4,0.75
S12,Q5,0.3333333333333333
S12,Q6,0.0
S12,Q7,1.0
S12,Q8,0.5
S12,Q9,1.0
S12,Q10,0.0
S12,Q11,1.0
S12,Q12,1.0
S12,Q13,1.0
S13,Q1,1.0
S13,Q2,0.6666666666666666
S13,Q3,1.0
S13,Q4,0.9166666666666666
S13,Q5,0.6666666666666666
S13,Q6,0.0
S13,Q7,0.0
S13,Q8,0.5
S13,Q9,1.0
S13,Q10,0.0
S13,Q11,0.1999999999999999
S13,Q12,1.0
S13,Q13,0.0
S14,Q1,0.0
S14,Q2,0.8333333333333334
S14,Q3,1.0
S14,Q4,0.125
S14,Q5,0.3333333333333333
S14,Q6,0.5
S14,Q7,1.0
S14,Q8,1.0
S14,Q9,0.0
S14,Q10,0.0
S14,Q11,1.0
S14,Q12,0.6
S14,Q13,1.0
S15,Q1,1.0
S15,Q2,0.6666666666666666
S15,Q3,1.0
S15,Q4,0.2916666666666667
